Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year,
Enterprise,Canada,Paseo,Low,2009,US$10.00,US$125.00,"US$251,125.00","US$7,533.75","US$243,591.25","US$241,080.00","US$2,511.25",10/01/14,10,October,2014,
Midmarket,Germany,Paseo,Low,1945,US$10.00,US$15.00,"US$29,175.00",US$875.25,"US$28,299.75","US$19,450.00","US$8,849.75",10/01/13,10,October,2013,
Enterprise,France,Paseo,Low,1287,US$10.00,US$125.00,"US$160,875.00","US$4,826.25","US$156,048.75","US$154,440.00","US$1,608.75",12/01/14,12,December,2014,
Enterprise,Germany,Paseo,Low,1706,US$10.00,US$125.00,"US$213,250.00","US$6,397.50","US$206,852.50","US$204,720.00","US$2,132.50",12/01/14,12,December,2014,
Enterprise,Canada,Velo,Low,2009,US$120.00,US$125.00,"US$251,125.00","US$7,533.75","US$243,591.25","US$241,080.00","US$2,511.25",10/01/14,10,October,2014,
Small Business,United States of America,VTT,Low,2844,US$250.00,US$300.00,"US$853,200.00","US$25,596.00","US$827,604.00","US$711,000.00","US$116,604.00",02/01/14,2,February,2014,
Channel Partners,Mexico,VTT,Low,1916,US$250.00,US$12.00,"US$22,992.00",US$689.76,"US$22,302.24","US$5,748.00","US$16,554.24",04/01/14,4,April,2014,
Enterprise,Germany,VTT,Low,1570,US$250.00,US$125.00,"US$196,250.00","US$5,887.50","US$190,362.50","US$188,400.00","US$1,962.50",06/01/14,6,June,2014,
Small Business,Canada,VTT,Low,1874,US$250.00,US$300.00,"US$562,200.00","US$16,866.00","US$545,334.00","US$468,500.00","US$76,834.00",08/01/14,8,August,2014,
Government,Mexico,VTT,Low,1642,US$250.00,US$350.00,"US$574,700.00","US$17,241.00","US$557,459.00","US$426,920.00","US$130,539.00",08/01/14,8,August,2014,
Midmarket,Germany,VTT,Low,1945,US$250.00,US$15.00,"US$29,175.00",US$875.25,"US$28,299.75","US$19,450.00","US$8,849.75",10/01/13,10,October,2013,
Government,Canada,Carretera,Low,831,US$3.00,US$20.00,"US$16,620.00",US$498.60,"US$16,121.40","US$8,310.00","US$7,811.40",05/01/14,5,May,2014,
Government,Mexico,Paseo,Low,1760,US$10.00,US$7.00,"US$12,320.00",US$369.60,"US$11,950.40","US$8,800.00","US$3,150.40",09/01/13,9,September,2013,
Government,Canada,Velo,Low,3850.5,US$120.00,US$20.00,"US$77,010.00","US$2,310.30","US$74,699.70","US$38,505.00","US$36,194.70",04/01/14,4,April,2014,
Channel Partners,Germany,VTT,Low,2479,US$250.00,US$12.00,"US$29,748.00",US$892.44,"US$28,855.56","US$7,437.00","US$21,418.56",01/01/14,1,January,2014,
Midmarket,Mexico,Montana,Low,2031,US$5.00,US$15.00,"US$30,465.00","US$1,218.60","US$29,246.40","US$20,310.00","US$8,936.40",10/01/14,10,October,2014,
Midmarket,Mexico,Paseo,Low,2031,US$10.00,US$15.00,"US$30,465.00","US$1,218.60","US$29,246.40","US$20,310.00","US$8,936.40",10/01/14,10,October,2014,
Midmarket,France,Paseo,Low,2261,US$10.00,US$15.00,"US$33,915.00","US$1,356.60","US$32,558.40","US$22,610.00","US$9,948.40",12/01/13,12,December,2013,
Government,United States of America,Velo,Low,736,US$120.00,US$20.00,"US$14,720.00",US$588.80,"US$14,131.20","US$7,360.00","US$6,771.20",09/01/13,9,September,2013,
Government,Canada,Carretera,Low,2851,US$3.00,US$7.00,"US$19,957.00",US$798.28,"US$19,158.72","US$14,255.00","US$4,903.72",10/01/13,10,October,2013,
Small Business,Germany,Carretera,Low,2021,US$3.00,US$300.00,"US$606,300.00","US$24,252.00","US$582,048.00","US$505,250.00","US$76,798.00",10/01/14,10,October,2014,
Government,United States of America,Carretera,Low,274,US$3.00,US$350.00,"US$95,900.00","US$3,836.00","US$92,064.00","US$71,240.00","US$20,824.00",12/01/14,12,December,2014,
Midmarket,Canada,Montana,Low,1967,US$5.00,US$15.00,"US$29,505.00","US$1,180.20","US$28,324.80","US$19,670.00","US$8,654.80",03/01/14,3,March,2014,
Small Business,Germany,Montana,Low,1859,US$5.00,US$300.00,"US$557,700.00","US$22,308.00","US$535,392.00","US$464,750.00","US$70,642.00",08/01/14,8,August,2014,
Government,Canada,Montana,Low,2851,US$5.00,US$7.00,"US$19,957.00",US$798.28,"US$19,158.72","US$14,255.00","US$4,903.72",10/01/13,10,October,2013,
Small Business,Germany,Montana,Low,2021,US$5.00,US$300.00,"US$606,300.00","US$24,252.00","US$582,048.00","US$505,250.00","US$76,798.00",10/01/14,10,October,2014,
Enterprise,Mexico,Montana,Low,1138,US$5.00,US$125.00,"US$142,250.00","US$5,690.00","US$136,560.00","US$136,560.00", US$	-   ,12/01/14,12,December,2014,
Government,Canada,Paseo,Low,4251,US$10.00,US$7.00,"US$29,757.00","US$1,190.28","US$28,566.72","US$21,255.00","US$7,311.72",01/01/14,1,January,2014,
Enterprise,Germany,Paseo,Low,795,US$10.00,US$125.00,"US$99,375.00","US$3,975.00","US$95,400.00","US$95,400.00", US$	-   ,03/01/14,3,March,2014,
Small Business,Germany,Paseo,Low,1414.5,US$10.00,US$300.00,"US$424,350.00","US$16,974.00","US$407,376.00","US$353,625.00","US$53,751.00",04/01/14,4,April,2014,
Small Business,United States of America,Paseo,Low,2918,US$10.00,US$300.00,"US$875,400.00","US$35,016.00","US$840,384.00","US$729,500.00","US$110,884.00",05/01/14,5,May,2014,
Government,United States of America,Paseo,Low,3450,US$10.00,US$350.00,"US$1,207,500.00","US$48,300.00","US$1,159,200.00","US$897,000.00","US$262,200.00",07/01/14,7,July,2014,
Enterprise,France,Paseo,Low,2988,US$10.00,US$125.00,"US$373,500.00","US$14,940.00","US$358,560.00","US$358,560.00", US$	-   ,07/01/14,7,July,2014,
Midmarket,Canada,Paseo,Low,218,US$10.00,US$15.00,"US$3,270.00",US$130.80,"US$3,139.20","US$2,180.00",US$959.20,09/01/14,9,September,2014,
Government,Canada,Paseo,Low,2074,US$10.00,US$20.00,"US$41,480.00","US$1,659.20","US$39,820.80","US$20,740.00","US$19,080.80",09/01/14,9,September,2014,
Government,United States of America,Paseo,Low,1056,US$10.00,US$20.00,"US$21,120.00",US$844.80,"US$20,275.20","US$10,560.00","US$9,715.20",09/01/14,9,September,2014,
Midmarket,United States of America,Paseo,Low,671,US$10.00,US$15.00,"US$10,065.00",US$402.60,"US$9,662.40","US$6,710.00","US$2,952.40",10/01/13,10,October,2013,
Midmarket,Mexico,Paseo,Low,1514,US$10.00,US$15.00,"US$22,710.00",US$908.40,"US$21,801.60","US$15,140.00","US$6,661.60",10/01/13,10,October,2013,
Government,United States of America,Paseo,Low,274,US$10.00,US$350.00,"US$95,900.00","US$3,836.00","US$92,064.00","US$71,240.00","US$20,824.00",12/01/14,12,December,2014,
Enterprise,Mexico,Paseo,Low,1138,US$10.00,US$125.00,"US$142,250.00","US$5,690.00","US$136,560.00","US$136,560.00", US$	-   ,12/01/14,12,December,2014,
Channel Partners,United States of America,Velo,Low,1465,US$120.00,US$12.00,"US$17,580.00",US$703.20,"US$16,876.80","US$4,395.00","US$12,481.80",03/01/14,3,March,2014,
Government,Canada,Velo,Low,2646,US$120.00,US$20.00,"US$52,920.00","US$2,116.80","US$50,803.20","US$26,460.00","US$24,343.20",09/01/13,9,September,2013,
Government,France,Velo,Low,2177,US$120.00,US$350.00,"US$761,950.00","US$30,478.00","US$731,472.00","US$566,020.00","US$165,452.00",10/01/14,10,October,2014,
Channel Partners,France,VTT,Low,866,US$250.00,US$12.00,"US$10,392.00",US$415.68,"US$9,976.32","US$2,598.00","US$7,378.32",05/01/14,5,May,2014,
Government,United States of America,VTT,Low,349,US$250.00,US$350.00,"US$122,150.00","US$4,886.00","US$117,264.00","US$90,740.00","US$26,524.00",09/01/13,9,September,2013,
Government,France,VTT,Low,2177,US$250.00,US$350.00,"US$761,950.00","US$30,478.00","US$731,472.00","US$566,020.00","US$165,452.00",10/01/14,10,October,2014,
Midmarket,Mexico,VTT,Low,1514,US$250.00,US$15.00,"US$22,710.00",US$908.40,"US$21,801.60","US$15,140.00","US$6,661.60",10/01/13,10,October,2013,
Government,Mexico,Amarilla,Low,1865,US$260.00,US$350.00,"US$652,750.00","US$26,110.00","US$626,640.00","US$484,900.00","US$141,740.00",02/01/14,2,February,2014,
Enterprise,Mexico,Amarilla,Low,1074,US$260.00,US$125.00,"US$134,250.00","US$5,370.00","US$128,880.00","US$128,880.00", US$	-   ,04/01/14,4,April,2014,
Government,Germany,Amarilla,Low,1907,US$260.00,US$350.00,"US$667,450.00","US$26,698.00","US$640,752.00","US$495,820.00","US$144,932.00",09/01/14,9,September,2014,
Midmarket,United States of America,Amarilla,Low,671,US$260.00,US$15.00,"US$10,065.00",US$402.60,"US$9,662.40","US$6,710.00","US$2,952.40",10/01/13,10,October,2013,
Government,Canada,Amarilla,Low,1778,US$260.00,US$350.00,"US$622,300.00","US$24,892.00","US$597,408.00","US$462,280.00","US$135,128.00",12/01/13,12,December,2013,
Government,Germany,Montana,Medium,1159,US$5.00,US$7.00,"US$8,113.00",US$405.65,"US$7,707.35","US$5,795.00","US$1,912.35",10/01/13,10,October,2013,
Government,Germany,Paseo,Medium,1372,US$10.00,US$7.00,"US$9,604.00",US$480.20,"US$9,123.80","US$6,860.00","US$2,263.80",01/01/14,1,January,2014,
Government,Canada,Paseo,Medium,2349,US$10.00,US$7.00,"US$16,443.00",US$822.15,"US$15,620.85","US$11,745.00","US$3,875.85",09/01/13,9,September,2013,
Government,Mexico,Paseo,Medium,2689,US$10.00,US$7.00,"US$18,823.00",US$941.15,"US$17,881.85","US$13,445.00","US$4,436.85",10/01/14,10,October,2014,
Channel Partners,Canada,Paseo,Medium,2431,US$10.00,US$12.00,"US$29,172.00","US$1,458.60","US$27,713.40","US$7,293.00","US$20,420.40",12/01/14,12,December,2014,
Channel Partners,Canada,Velo,Medium,2431,US$120.00,US$12.00,"US$29,172.00","US$1,458.60","US$27,713.40","US$7,293.00","US$20,420.40",12/01/14,12,December,2014,
Government,Mexico,VTT,Medium,2689,US$250.00,US$7.00,"US$18,823.00",US$941.15,"US$17,881.85","US$13,445.00","US$4,436.85",10/01/14,10,October,2014,
Government,Mexico,Amarilla,Medium,1683,US$260.00,US$7.00,"US$11,781.00",US$589.05,"US$11,191.95","US$8,415.00","US$2,776.95",07/01/14,7,July,2014,
Channel Partners,Mexico,Amarilla,Medium,1123,US$260.00,US$12.00,"US$13,476.00",US$673.80,"US$12,802.20","US$3,369.00","US$9,433.20",08/01/14,8,August,2014,
Government,Germany,Amarilla,Medium,1159,US$260.00,US$7.00,"US$8,113.00",US$405.65,"US$7,707.35","US$5,795.00","US$1,912.35",10/01/13,10,October,2013,
Channel Partners,France,Carretera,Medium,1865,US$3.00,US$12.00,"US$22,380.00","US$1,119.00","US$21,261.00","US$5,595.00","US$15,666.00",02/01/14,2,February,2014,
Channel Partners,Germany,Carretera,Medium,1116,US$3.00,US$12.00,"US$13,392.00",US$669.60,"US$12,722.40","US$3,348.00","US$9,374.40",02/01/14,2,February,2014,
Government,France,Carretera,Medium,1563,US$3.00,US$20.00,"US$31,260.00","US$1,563.00","US$29,697.00","US$15,630.00","US$14,067.00",05/01/14,5,May,2014,
Small Business,United States of America,Carretera,Medium,991,US$3.00,US$300.00,"US$297,300.00","US$14,865.00","US$282,435.00","US$247,750.00","US$34,685.00",06/01/14,6,June,2014,
Government,Germany,Carretera,Medium,1016,US$3.00,US$7.00,"US$7,112.00",US$355.60,"US$6,756.40","US$5,080.00","US$1,676.40",11/01/13,11,November,2013,
Midmarket,Mexico,Carretera,Medium,2791,US$3.00,US$15.00,"US$41,865.00","US$2,093.25","US$39,771.75","US$27,910.00","US$11,861.75",11/01/14,11,November,2014,
Government,United States of America,Carretera,Medium,570,US$3.00,US$7.00,"US$3,990.00",US$199.50,"US$3,790.50","US$2,850.00",US$940.50,12/01/14,12,December,2014,
Government,France,Carretera,Medium,2487,US$3.00,US$7.00,"US$17,409.00",US$870.45,"US$16,538.55","US$12,435.00","US$4,103.55",12/01/14,12,December,2014,
Government,France,Montana,Medium,1384.5,US$5.00,US$350.00,"US$484,575.00","US$24,228.75","US$460,346.25","US$359,970.00","US$100,376.25",01/01/14,1,January,2014,
Enterprise,United States of America,Montana,Medium,3627,US$5.00,US$125.00,"US$453,375.00","US$22,668.75","US$430,706.25","US$435,240.00","(US$4,533.75)",07/01/14,7,July,2014,
Government,Mexico,Montana,Medium,720,US$5.00,US$350.00,"US$252,000.00","US$12,600.00","US$239,400.00","US$187,200.00","US$52,200.00",09/01/13,9,September,2013,
Channel Partners,Germany,Montana,Medium,2342,US$5.00,US$12.00,"US$28,104.00","US$1,405.20","US$26,698.80","US$7,026.00","US$19,672.80",11/01/14,11,November,2014,
Small Business,Mexico,Montana,Medium,1100,US$5.00,US$300.00,"US$330,000.00","US$16,500.00","US$313,500.00","US$275,000.00","US$38,500.00",12/01/13,12,December,2013,
Government,France,Paseo,Medium,1303,US$10.00,US$20.00,"US$26,060.00","US$1,303.00","US$24,757.00","US$13,030.00","US$11,727.00",02/01/14,2,February,2014,
Enterprise,United States of America,Paseo,Medium,2992,US$10.00,US$125.00,"US$374,000.00","US$18,700.00","US$355,300.00","US$359,040.00","(US$3,740.00)",03/01/14,3,March,2014,
Enterprise,France,Paseo,Medium,2385,US$10.00,US$125.00,"US$298,125.00","US$14,906.25","US$283,218.75","US$286,200.00","(US$2,981.25)",03/01/14,3,March,2014,
Small Business,Mexico,Paseo,Medium,1607,US$10.00,US$300.00,"US$482,100.00","US$24,105.00","US$457,995.00","US$401,750.00","US$56,245.00",04/01/14,4,April,2014,
Government,United States of America,Paseo,Medium,2327,US$10.00,US$7.00,"US$16,289.00",US$814.45,"US$15,474.55","US$11,635.00","US$3,839.55",05/01/14,5,May,2014,
Small Business,United States of America,Paseo,Medium,991,US$10.00,US$300.00,"US$297,300.00","US$14,865.00","US$282,435.00","US$247,750.00","US$34,685.00",06/01/14,6,June,2014,
Government,United States of America,Paseo,Medium,602,US$10.00,US$350.00,"US$210,700.00","US$10,535.00","US$200,165.00","US$156,520.00","US$43,645.00",06/01/14,6,June,2014,
Midmarket,France,Paseo,Medium,2620,US$10.00,US$15.00,"US$39,300.00","US$1,965.00","US$37,335.00","US$26,200.00","US$11,135.00",09/01/14,9,September,2014,
Government,Canada,Paseo,Medium,1228,US$10.00,US$350.00,"US$429,800.00","US$21,490.00","US$408,310.00","US$319,280.00","US$89,030.00",10/01/13,10,October,2013,
Government,Canada,Paseo,Medium,1389,US$10.00,US$20.00,"US$27,780.00","US$1,389.00","US$26,391.00","US$13,890.00","US$12,501.00",10/01/13,10,October,2013,
Enterprise,United States of America,Paseo,Medium,861,US$10.00,US$125.00,"US$107,625.00","US$5,381.25","US$102,243.75","US$103,320.00","(US$1,076.25)",10/01/14,10,October,2014,
Enterprise,France,Paseo,Medium,704,US$10.00,US$125.00,"US$88,000.00","US$4,400.00","US$83,600.00","US$84,480.00",(US$880.00),10/01/13,10,October,2013,
Government,Canada,Paseo,Medium,1802,US$10.00,US$20.00,"US$36,040.00","US$1,802.00","US$34,238.00","US$18,020.00","US$16,218.00",12/01/13,12,December,2013,
Government,United States of America,Paseo,Medium,2663,US$10.00,US$20.00,"US$53,260.00","US$2,663.00","US$50,597.00","US$26,630.00","US$23,967.00",12/01/14,12,December,2014,
Government,France,Paseo,Medium,2136,US$10.00,US$7.00,"US$14,952.00",US$747.60,"US$14,204.40","US$10,680.00","US$3,524.40",12/01/13,12,December,2013,
Midmarket,Germany,Paseo,Medium,2116,US$10.00,US$15.00,"US$31,740.00","US$1,587.00","US$30,153.00","US$21,160.00","US$8,993.00",12/01/13,12,December,2013,
Midmarket,United States of America,Velo,Medium,555,US$120.00,US$15.00,"US$8,325.00",US$416.25,"US$7,908.75","US$5,550.00","US$2,358.75",01/01/14,1,January,2014,
Midmarket,Mexico,Velo,Medium,2861,US$120.00,US$15.00,"US$42,915.00","US$2,145.75","US$40,769.25","US$28,610.00","US$12,159.25",01/01/14,1,January,2014,
Enterprise,Germany,Velo,Medium,807,US$120.00,US$125.00,"US$100,875.00","US$5,043.75","US$95,831.25","US$96,840.00","(US$1,008.75)",02/01/14,2,February,2014,
Government,United States of America,Velo,Medium,602,US$120.00,US$350.00,"US$210,700.00","US$10,535.00","US$200,165.00","US$156,520.00","US$43,645.00",06/01/14,6,June,2014,
Government,United States of America,Velo,Medium,2832,US$120.00,US$20.00,"US$56,640.00","US$2,832.00","US$53,808.00","US$28,320.00","US$25,488.00",08/01/14,8,August,2014,
Government,France,Velo,Medium,1579,US$120.00,US$20.00,"US$31,580.00","US$1,579.00","US$30,001.00","US$15,790.00","US$14,211.00",08/01/14,8,August,2014,
Enterprise,United States of America,Velo,Medium,861,US$120.00,US$125.00,"US$107,625.00","US$5,381.25","US$102,243.75","US$103,320.00","(US$1,076.25)",10/01/14,10,October,2014,
Enterprise,France,Velo,Medium,704,US$120.00,US$125.00,"US$88,000.00","US$4,400.00","US$83,600.00","US$84,480.00",(US$880.00),10/01/13,10,October,2013,
Government,France,Velo,Medium,1033,US$120.00,US$20.00,"US$20,660.00","US$1,033.00","US$19,627.00","US$10,330.00","US$9,297.00",12/01/13,12,December,2013,
Small Business,Germany,Velo,Medium,1250,US$120.00,US$300.00,"US$375,000.00","US$18,750.00","US$356,250.00","US$312,500.00","US$43,750.00",12/01/14,12,December,2014,
Government,Canada,VTT,Medium,1389,US$250.00,US$20.00,"US$27,780.00","US$1,389.00","US$26,391.00","US$13,890.00","US$12,501.00",10/01/13,10,October,2013,
Government,United States of America,VTT,Medium,1265,US$250.00,US$20.00,"US$25,300.00","US$1,265.00","US$24,035.00","US$12,650.00","US$11,385.00",11/01/13,11,November,2013,
Government,Germany,VTT,Medium,2297,US$250.00,US$20.00,"US$45,940.00","US$2,297.00","US$43,643.00","US$22,970.00","US$20,673.00",11/01/13,11,November,2013,
Government,United States of America,VTT,Medium,2663,US$250.00,US$20.00,"US$53,260.00","US$2,663.00","US$50,597.00","US$26,630.00","US$23,967.00",12/01/14,12,December,2014,
Government,United States of America,VTT,Medium,570,US$250.00,US$7.00,"US$3,990.00",US$199.50,"US$3,790.50","US$2,850.00",US$940.50,12/01/14,12,December,2014,
Government,France,VTT,Medium,2487,US$250.00,US$7.00,"US$17,409.00",US$870.45,"US$16,538.55","US$12,435.00","US$4,103.55",12/01/14,12,December,2014,
Government,Germany,Amarilla,Medium,1350,US$260.00,US$350.00,"US$472,500.00","US$23,625.00","US$448,875.00","US$351,000.00","US$97,875.00",02/01/14,2,February,2014,
Government,Canada,Amarilla,Medium,552,US$260.00,US$350.00,"US$193,200.00","US$9,660.00","US$183,540.00","US$143,520.00","US$40,020.00",08/01/14,8,August,2014,
Government,Canada,Amarilla,Medium,1228,US$260.00,US$350.00,"US$429,800.00","US$21,490.00","US$408,310.00","US$319,280.00","US$89,030.00",10/01/13,10,October,2013,
Small Business,Germany,Amarilla,Medium,1250,US$260.00,US$300.00,"US$375,000.00","US$18,750.00","US$356,250.00","US$312,500.00","US$43,750.00",12/01/14,12,December,2014,
Midmarket,France,Paseo,Medium,3801,US$10.00,US$15.00,"US$57,015.00","US$3,420.90","US$53,594.10","US$38,010.00","US$15,584.10",04/01/14,4,April,2014,
Government,United States of America,Carretera,Medium,1117.5,US$3.00,US$20.00,"US$22,350.00","US$1,341.00","US$21,009.00","US$11,175.00","US$9,834.00",01/01/14,1,January,2014,
Midmarket,Canada,Carretera,Medium,2844,US$3.00,US$15.00,"US$42,660.00","US$2,559.60","US$40,100.40","US$28,440.00","US$11,660.40",06/01/14,6,June,2014,
Channel Partners,Mexico,Carretera,Medium,562,US$3.00,US$12.00,"US$6,744.00",US$404.64,"US$6,339.36","US$1,686.00","US$4,653.36",09/01/14,9,September,2014,
Channel Partners,Canada,Carretera,Medium,2299,US$3.00,US$12.00,"US$27,588.00","US$1,655.28","US$25,932.72","US$6,897.00","US$19,035.72",10/01/13,10,October,2013,
Midmarket,United States of America,Carretera,Medium,2030,US$3.00,US$15.00,"US$30,450.00","US$1,827.00","US$28,623.00","US$20,300.00","US$8,323.00",11/01/14,11,November,2014,
Government,United States of America,Carretera,Medium,263,US$3.00,US$7.00,"US$1,841.00",US$110.46,"US$1,730.54","US$1,315.00",US$415.54,11/01/13,11,November,2013,
Enterprise,Germany,Carretera,Medium,887,US$3.00,US$125.00,"US$110,875.00","US$6,652.50","US$104,222.50","US$106,440.00","(US$2,217.50)",12/01/13,12,December,2013,
Government,Mexico,Montana,Medium,980,US$5.00,US$350.00,"US$343,000.00","US$20,580.00","US$322,420.00","US$254,800.00","US$67,620.00",04/01/14,4,April,2014,
Government,Germany,Montana,Medium,1460,US$5.00,US$350.00,"US$511,000.00","US$30,660.00","US$480,340.00","US$379,600.00","US$100,740.00",05/01/14,5,May,2014,
Government,France,Montana,Medium,1403,US$5.00,US$7.00,"US$9,821.00",US$589.26,"US$9,231.74","US$7,015.00","US$2,216.74",10/01/13,10,October,2013,
Channel Partners,United States of America,Montana,Medium,2723,US$5.00,US$12.00,"US$32,676.00","US$1,960.56","US$30,715.44","US$8,169.00","US$22,546.44",11/01/14,11,November,2014,
Government,France,Paseo,Medium,1496,US$10.00,US$350.00,"US$523,600.00","US$31,416.00","US$492,184.00","US$388,960.00","US$103,224.00",06/01/14,6,June,2014,
Channel Partners,Canada,Paseo,Medium,2299,US$10.00,US$12.00,"US$27,588.00","US$1,655.28","US$25,932.72","US$6,897.00","US$19,035.72",10/01/13,10,October,2013,
Government,United States of America,Paseo,Medium,727,US$10.00,US$350.00,"US$254,450.00","US$15,267.00","US$239,183.00","US$189,020.00","US$50,163.00",10/01/13,10,October,2013,
Enterprise,Canada,Velo,Medium,952,US$120.00,US$125.00,"US$119,000.00","US$7,140.00","US$111,860.00","US$114,240.00","(US$2,380.00)",02/01/14,2,February,2014,
Enterprise,United States of America,Velo,Medium,2755,US$120.00,US$125.00,"US$344,375.00","US$20,662.50","US$323,712.50","US$330,600.00","(US$6,887.50)",02/01/14,2,February,2014,
Midmarket,Germany,Velo,Medium,1530,US$120.00,US$15.00,"US$22,950.00","US$1,377.00","US$21,573.00","US$15,300.00","US$6,273.00",05/01/14,5,May,2014,
Government,France,Velo,Medium,1496,US$120.00,US$350.00,"US$523,600.00","US$31,416.00","US$492,184.00","US$388,960.00","US$103,224.00",06/01/14,6,June,2014,
Government,Mexico,Velo,Medium,1498,US$120.00,US$7.00,"US$10,486.00",US$629.16,"US$9,856.84","US$7,490.00","US$2,366.84",06/01/14,6,June,2014,
Small Business,France,Velo,Medium,1221,US$120.00,US$300.00,"US$366,300.00","US$21,978.00","US$344,322.00","US$305,250.00","US$39,072.00",10/01/13,10,October,2013,
Government,France,Velo,Medium,2076,US$120.00,US$350.00,"US$726,600.00","US$43,596.00","US$683,004.00","US$539,760.00","US$143,244.00",10/01/13,10,October,2013,
Midmarket,Canada,VTT,Medium,2844,US$250.00,US$15.00,"US$42,660.00","US$2,559.60","US$40,100.40","US$28,440.00","US$11,660.40",06/01/14,6,June,2014,
Government,Mexico,VTT,Medium,1498,US$250.00,US$7.00,"US$10,486.00",US$629.16,"US$9,856.84","US$7,490.00","US$2,366.84",06/01/14,6,June,2014,
Small Business,France,VTT,Medium,1221,US$250.00,US$300.00,"US$366,300.00","US$21,978.00","US$344,322.00","US$305,250.00","US$39,072.00",10/01/13,10,October,2013,
Government,Mexico,VTT,Medium,1123,US$250.00,US$20.00,"US$22,460.00","US$1,347.60","US$21,112.40","US$11,230.00","US$9,882.40",11/01/13,11,November,2013,
Small Business,Canada,VTT,Medium,2436,US$250.00,US$300.00,"US$730,800.00","US$43,848.00","US$686,952.00","US$609,000.00","US$77,952.00",12/01/13,12,December,2013,
Enterprise,France,Amarilla,Medium,1987.5,US$260.00,US$125.00,"US$248,437.50","US$14,906.25","US$233,531.25","US$238,500.00","(US$4,968.75)",01/01/14,1,January,2014,
Government,Mexico,Amarilla,Medium,1679,US$260.00,US$350.00,"US$587,650.00","US$35,259.00","US$552,391.00","US$436,540.00","US$115,851.00",09/01/14,9,September,2014,
Government,United States of America,Amarilla,Medium,727,US$260.00,US$350.00,"US$254,450.00","US$15,267.00","US$239,183.00","US$189,020.00","US$50,163.00",10/01/13,10,October,2013,
Government,France,Amarilla,Medium,1403,US$260.00,US$7.00,"US$9,821.00",US$589.26,"US$9,231.74","US$7,015.00","US$2,216.74",10/01/13,10,October,2013,
Government,France,Amarilla,Medium,2076,US$260.00,US$350.00,"US$726,600.00","US$43,596.00","US$683,004.00","US$539,760.00","US$143,244.00",10/01/13,10,October,2013,
Government,France,Montana,Medium,1757,US$5.00,US$20.00,"US$35,140.00","US$2,108.40","US$33,031.60","US$17,570.00","US$15,461.60",10/01/13,10,October,2013,
Midmarket,United States of America,Paseo,Medium,2198,US$10.00,US$15.00,"US$32,970.00","US$1,978.20","US$30,991.80","US$21,980.00","US$9,011.80",08/01/14,8,August,2014,
Midmarket,Germany,Paseo,Medium,1743,US$10.00,US$15.00,"US$26,145.00","US$1,568.70","US$24,576.30","US$17,430.00","US$7,146.30",08/01/14,8,August,2014,
Midmarket,United States of America,Paseo,Medium,1153,US$10.00,US$15.00,"US$17,295.00","US$1,037.70","US$16,257.30","US$11,530.00","US$4,727.30",10/01/14,10,October,2014,
Government,France,Paseo,Medium,1757,US$10.00,US$20.00,"US$35,140.00","US$2,108.40","US$33,031.60","US$17,570.00","US$15,461.60",10/01/13,10,October,2013,
Government,Germany,Velo,Medium,1001,US$120.00,US$20.00,"US$20,020.00","US$1,201.20","US$18,818.80","US$10,010.00","US$8,808.80",08/01/14,8,August,2014,
Government,Mexico,Velo,Medium,1333,US$120.00,US$7.00,"US$9,331.00",US$559.86,"US$8,771.14","US$6,665.00","US$2,106.14",11/01/14,11,November,2014,
Midmarket,United States of America,VTT,Medium,1153,US$250.00,US$15.00,"US$17,295.00","US$1,037.70","US$16,257.30","US$11,530.00","US$4,727.30",10/01/14,10,October,2014,
Channel Partners,Mexico,Carretera,Medium,727,US$3.00,US$12.00,"US$8,724.00",US$610.68,"US$8,113.32","US$2,181.00","US$5,932.32",02/01/14,2,February,2014,
Channel Partners,Canada,Carretera,Medium,1884,US$3.00,US$12.00,"US$22,608.00","US$1,582.56","US$21,025.44","US$5,652.00","US$15,373.44",08/01/14,8,August,2014,
Government,Mexico,Carretera,Medium,1834,US$3.00,US$20.00,"US$36,680.00","US$2,567.60","US$34,112.40","US$18,340.00","US$15,772.40",09/01/13,9,September,2013,
Channel Partners,Mexico,Montana,Medium,2340,US$5.00,US$12.00,"US$28,080.00","US$1,965.60","US$26,114.40","US$7,020.00","US$19,094.40",01/01/14,1,January,2014,
Channel Partners,France,Montana,Medium,2342,US$5.00,US$12.00,"US$28,104.00","US$1,967.28","US$26,136.72","US$7,026.00","US$19,110.72",11/01/14,11,November,2014,
Government,France,Paseo,Medium,1031,US$10.00,US$7.00,"US$7,217.00",US$505.19,"US$6,711.81","US$5,155.00","US$1,556.81",09/01/13,9,September,2013,
Midmarket,Canada,Velo,Medium,1262,US$120.00,US$15.00,"US$18,930.00","US$1,325.10","US$17,604.90","US$12,620.00","US$4,984.90",05/01/14,5,May,2014,
Government,Canada,Velo,Medium,1135,US$120.00,US$7.00,"US$7,945.00",US$556.15,"US$7,388.85","US$5,675.00","US$1,713.85",06/01/14,6,June,2014,
Government,United States of America,Velo,Medium,547,US$120.00,US$7.00,"US$3,829.00",US$268.03,"US$3,560.97","US$2,735.00",US$825.97,11/01/14,11,November,2014,
